SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-BL/2002ap/FAST phase-band : 151.46B,0.011049724,0.8343888,0.072,-2.0,151.46,B,0.071123615,0.9288764,4.0458674,0.010268698
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ib/2004ao/FAST phase-band : 6.51B,0.014384787,0.8485801,0.076,1.4,6.51,B,0.0044012773,0.99559873,4.0481353,0.010274456
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,ILRT/2017be/ALFOSC phase-band : 13.0B,0.6451109,0.5758789,0.073,2.0,13.0,B,0.1793417,0.8206583,4.0807486,0.0102789635
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 91T-like/1991T/ISIS phase-band : 257.0B,0.0019885036,0.8486886,0.067,-2.0,257.0,B,0.016082263,0.9839177,4.0810738,0.010279783
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIn/2009kr/LRIS phase-band : 119.03B,0.0049215425,0.84543884,0.072,-2.0,119.03,B,0.030111885,0.9698881,4.0510964,0.01028197
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIb/1993J/KAST phase-band : 205.0B,0.027205836,0.83883816,0.073,2.0,205.0,B,0.007967653,0.99203235,4.0852532,0.010290311
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/iPTF15crj/DBSP phase-band : u-,0.6980808,0.51301646,0.074,1.6,u,-,0.2598008,0.7401992,4.0872374,0.010295309
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/1994D/KAST phase-band : 87.49B,0.00030006212,0.85339284,0.07,-1.8,87.49,B,0.002275423,0.9977246,4.0933695,0.010310754
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIb/2011dh/OSIRIS phase-band : 398.61B,0.0566135,0.81799275,0.074,1.6,398.61,B,0.022515262,0.97748476,4.094426,0.010313416
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/PTF10bfz/LRIS phase-band : 1172.0B,0.025382105,0.81025237,0.073,-1.2,1172.0,B,0.08179286,0.9182071,4.094715,0.010314144
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/PTF10bfz/LRIS phase-band : -16.0B,2.0030482,0.00077305984,0.086,1.8,-16.0,B,0.9981653,0.0018346899,4.0970745,0.010320087
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIb/2011fu/OSIRIS phase-band : 282.1B,0.040732324,0.8323799,0.074,2.0,282.1,B,0.011454952,0.98854506,4.09721,0.010320428
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,II/2013fs/FLOYDS-S phase-band : 26.59B,0.1324061,0.77986073,0.074,2.0,26.59,B,0.040900636,0.95909935,4.0972934,0.010320638
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,II/2013fs/ALFOSC phase-band : 6.24B,0.5618288,0.026039992,0.073,-1.2,6.24,B,0.98126715,0.018732835,4.0981064,0.010322686
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ibn/2010al/X-Shooter phase-band : 2.82B,0.0025294428,0.8476244,0.072,-2.0,2.82,B,0.016763864,0.98323613,4.099539,0.010326293
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-BL/1998bw/DFOSC phase-band : -5.6B,0.03984168,0.8004525,0.073,-1.2,-5.6,B,0.09664556,0.90335447,4.1000547,0.010327594
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIb/2001ig/LRIS phase-band : u-,0.005896126,0.84919906,0.075,2.0,u,-,0.0022962128,0.9977038,4.100331,0.010328289
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-BL/1998bw/EFOSC2-3.6 phase-band : -5.0B,0.0036694445,0.84571475,0.073,-1.4,-5.0,B,0.016433926,0.98356605,4.1015224,0.010331291
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,FBOT/AT2018cow/LRIS phase-band : -3.6B,0.010743148,0.83153117,0.073,-1.4,-3.6,B,0.045596115,0.9544039,4.102616,0.010334045
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,IIn/2000eo/KAST phase-band : 24.0B,4.4158518e-05,0.8535296,0.074,-2.0,24.0,B,0.00023351701,0.99976647,4.1054044,0.010341069
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2012ht/KAST phase-band : 99.19B,0.00094737124,0.85088533,0.073,-2.0,99.19,B,0.007151082,0.99284893,4.1068954,0.010344825
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia 02es-like/PTF10ops/ISIS phase-band : 11.0g,0.10970777,0.79616994,0.079,1.8,11.0,g,0.0337522,0.9662478,4.1092215,0.010350685
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,Ia-02cx like/2005hk/DIS phase-band : -5.9B,0.29058227,0.1760703,0.15,-2.0,-5.9,B,0.8972275,0.10277249,4.0552645,0.010451712
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB2,SLSN-I/2011ke/LRIS phase-band : 329.06V,0.7045898,0.016663434,0.123,-1.4,329.06,V,0.98944,0.010559965,4.1840906,0.010539271
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-II/CSS121015/EFOSC2-NTT phase-band : 396.11B,0.00078229257,0.844164,0.12,-2.0,396.11,B,0.0040857717,0.9959142,4.142836,0.0105415685
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-IIn/PTF10fel/HET-LRS phase-band : 12.0R,0.00067516253,0.8465755,0.108,-2.0,12.0,R,0.0030370518,0.99696296,4.1892753,0.010552331
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic/2004gk/FAST phase-band : 92.37B,0.00044803755,0.84671265,0.109,-2.0,92.37,B,0.0023777764,0.99762225,4.191296,0.010557421
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-pec/2000cx/KAST phase-band : 88.33B,0.0016326343,0.8430055,0.108,-1.8,88.33,B,0.011068249,0.9889318,4.1920776,0.010559389
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-Ib/2010md/KAST phase-band : 15.0B,0.010934125,0.82486176,0.109,-2.0,15.0,B,0.060344875,0.9396551,4.1929836,0.010561672
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic/2013ek/EFOSC2-NTT phase-band : u-,0.0012212776,0.8455787,0.11,-2.0,u,-,0.005865745,0.99413425,4.1942124,0.010564767
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,TDE H/ASASSN-14ae/DIS phase-band : -7.0B,0.009205698,0.82795215,0.111,-2.0,-7.0,B,0.052067254,0.9479327,4.1952477,0.0105673745
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ia-norm/2007sr/FAST phase-band : 76.37B,0.0024583682,0.84302694,0.112,-2.0,76.37,B,0.0131056765,0.9868943,4.1958404,0.010568868
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-Ib/2010md/RC-Spec phase-band : 80.0B,0.0020489125,0.8441273,0.111,-2.0,80.0,B,0.009678232,0.99032176,4.1963754,0.010570215
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,SLSN-I/PTF12dam/DBSP phase-band : 176.0B,0.011860041,0.8279377,0.11,-1.8,176.0,B,0.0476208,0.9523792,4.201385,0.010582834
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ibn/2010al/ISIS phase-band : 3.82B,0.059177667,0.72239643,0.117,-2.0,3.82,B,0.28918105,0.71081895,4.20504,0.01059204
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ic-pec/2005ek/FAST phase-band : 4.0B,0.0012854264,0.8442051,0.117,-2.0,4.0,B,0.005993774,0.9940062,4.206703,0.01059623
ZTF24abbbttv_2024-08-18_SPRAT_binned.ascii,SB1,Ib/2004ao/FAST phase-band : 62.31B,0.00022975547,0.8452505,0.118,-2.0,62.31,B,0.0011738158,0.9988262,4.208574,0.010600942
